Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
ya its really good service.,good service,company's service,positive,,,,,,,,,,,,,,,
very disappointing experience.. they don't value time..,disappointing experience,company's service,negative ,,,,,,,,,,,,,,,
"Making Fool by offering 20% Discount on First Time Ac service there is no discount, charges as too high for split ac is â‚¹ 599 means â‚¹600 and Market rate is â‚¹450 I am going to UNINSTALL0",no discount,cost,negative ,charges too high,cost,negative ,,,,,,,,,,,,
If you are looking for any kind service no need to hopping anywhre just jump on Urban Clap they will find the right you deserve.,any kind of service,company's service,positive,,,,,,,,,,,,,,,
"Excellent, prompt Service.",prompt service,company's service,positive,,,,,,,,,,,,,,,
good experience in home service,good experience,company's service,positive,,,,,,,,,,,,,,,
great app.. able yo get any kind of service with quality,great app,APP utlity,positive,,,,,,,,,,,,,,,
horriable experince with these people will not recommend this services provider expensive and irresponsable people. technican left the ac repair halfway now i am waiting from 4days UrbanSlap people just saying we esclated but no action paid 5000Rs. im crying,horrible experience,company's service,negative , paid 5000Rs.,cost,negative ,,,,,,,,,,,,
very good service.,good service,company's service,positive,,,,,,,,,,,,,,,
Absolutely terrible professionals .. Twice had bad experience with them.. They did not do anything about it.. The professionals are rude.. Pricing is way too high.. They charge for hours where the professional has gone to the shop to buy materials also..,terrible professionals,service quality,negative , professionals are rude,service person's attitue,negative ,Pricing is way too high,cost,negative ,,,,,,,,,
good customer service I like it tq,good customer service,customer support,positive,,,,,,,,,,,,,,,
worst people. charging way too high then market and still not doing job properly..please save ur money and avoid these frauds,charging way too high,cost,negative ,,,,,,,,,,,,,,,
"seen shortage of technician in urban clap as they accepted my laptop repair request and they told me after the technician arrival that technician is not available, this is really funny ",shortage of technicians,company's service,negative ,,,,,,,,,,,,,,,
"Really a life saver for all ladies with small kids,the professionals are very well trained n good at their service .Highly recommended pricewise as well as quality service wise",professionals well trained,service quality,positive,,,,,,,,,,,,,,,
Excellent service provided on time alongwith relevsnt service providers,excellent service,company's service,positive,,,,,,,,,,,,,,,
Had a terrible experience as a UC partner. Do NOT be misled to believe that UC's partner-response team is proactive and resonds quickly. It's a mess. Stay away if you want to save your time and money.,terrible experience,service quality,negative ,,,,,,,,,,,,,,,
it continuously shows payment validation failed.. not able to book any service..,payment validation fail,payment,negative ,,,,,,,,,,,,,,,
Tremendous job by urbanclap,tremendous job,company's service,positive,,,,,,,,,,,,,,,
"its mandatory to give atlwast 1 star else I would have rather given 0 stars.... no services available, no options for logout, only permissions are asked to use sms and gprs access.. no other facility provided.. now just an apology autoreply will be sent on this comment..",no services,App functionality,negative ,,,,,,,,,,,,,,,
"very easy, convenient and effective!",convenient,APP utlity,positive,effecive,APP utlity,,,,,,,,,,,,,
poor app.dont use it.untrained technicians.charge extra money.damage wall during service.overall cheaters,untrained technicians,service quality,negative ,charge extra money,cost,negative ,,,,,,,,,,,,
Prompt and Professional,professional,service quality,positive,prompt,service quality,positive,,,,,,,,,,,,
good service,good service,company's service,positive,,,,,,,,,,,,,,,
Excellent service given by urban team nice work,excellent service,company's service,positive,,,,,,,,,,,,,,,
First experience was not good with the professional but customer care made it good...happy,first experience,service quality,negative ,customer care,customer support,positive,,,,,,,,,,,,
i have worst experience while booked for ac service ac mechenic Rajendra Maheshwari not only cheat me but also damaged my ac I would not recommend any body After complaint against him I have been waiting for last 3 days for response from UC but all in Wain I have no idea whom to contact .. Rajiv Soni UC don't deserve even single star.,worst experience,service quality,negative , damaged my ac,service quality,negative ,I have no idea whom to contact,customer support,negative ,,,,,,,,,
UrbanClap is a life-saver for all services!,life-saver,APP utlity,positive,,,,,,,,,,,,,,,
"Excellent job done by executive,behaviour was very good.",excellent job,service quality,positive,,,,,,,,,,,,,,,
very usefull app,very useful app,APP utlity,positive,,,,,,,,,,,,,,,
Urban Clap's service was very good. Sivasankari did a good and thorough job.,good service,service quality,positive,,,,,,,,,,,,,,,
Great Service Personnel... Rest assured.,great service,service quality,positive,,,,,,,,,,,,,,,
it's a very good app well and experienced person,experienced person,service quality,positive,,,,,,,,,,,,,,,
great professional service,great professional service,service quality,positive,,,,,,,,,,,,,,,
expert staff...good service.,expert staff,service quality,positive,,,,,,,,,,,,,,,
My first experience with UrbanClap is disappointing. I booked service for Refrigerator repair. Service man diagnosed the issue and ask for CHANGE OF PART called THERMOSTAT. On UrbanClap Rate card price for a standard company THERMOSTAT was â‚¹700/- . The service man installed a local poor quality brand which sold in market at around â‚¹150 to â‚¹300 only. I feel cheated in name of standard quality service. I hope UrbanClap will keep its promise for a quality service delivery.,first experience,service quality,negative ,I feel cheated in name of standard quality service,service quality,negative ,,,,,,,,,,,,
"Have been taking various services from UC of salon, massage, AC and water cooler repair, Bathroom cleaning and have been good and satisfying till now. I have tried other vendors for bathroom and UC earlier as well but this time, work done by Naveen Reddy deserves more than 5 (if can be given).. never seen anyone doing it so perfectly!! the wall tiles are looking like new!",good and satisfying,service quality,positive,,,,,,,,,,,,,,,
Excellent app. No complaints so far.,excellent app,APP utlity,positive,,,,,,,,,,,,,,,
very very bad service,bad service,service quality,negative ,,,,,,,,,,,,,,,
"Very useful, and good professionals",very useful app,APP utlity,positive,good professionals,company's service,positive,,,,,,,,,,,,
very good experience.Chaya was wonderful and very professional.,good experience,company's service,positive,very professional,company's service,positive,,,,,,,,,,,,
"I am very happy with their services. They were very professional in their job and they took care of packing of all the items, loading, moving, unloading and unpacking the items safely. Their charge was also reasonable. I strongly recommend them",professional,company's service,positive,reasonable charges,cost,positive,,,,,,,,,,,,
nice app for all sorts of serivices are available which makes life really easy and fast.,nice app,APP utlity,positive,,,,,,,,,,,,,,,
excellent app and excellent service,excellent app and service,APP utlity,positive,,,,,,,,,,,,,,,
Great service. Probably the best.,great service,company's service,positive,,,,,,,,,,,,,,,
Very professional. Absolutely on time and great service.,very professional,company's service,positive,on time,service quality,positive,,,,,,,,,,,,
I like this aap and quick service,quick service,company's service,positive,,,,,,,,,,,,,,,
Good idea for urban home families,good idea,APP utlity,positive,,,,,,,,,,,,,,,
Thank you for your engineer has done a very satisfying job,satisfiying job,service quality,positive,,,,,,,,,,,,,,,
Wonderful experience.,wonderful experience,company's service,positive,,,,,,,,,,,,,,,
"I am trying to book a service since 16th may not able to do it. every time I try to book it says our hands are full , try after sometime. There is no call center or any number where we can reach and find out if the service is possible or not.",no call center,customer support,negative ,,,,,,,,,,,,,,,
The service was so good and the way they treat us is also so respectful.,good service,company's service,positive,respectful,service quality,positive,,,,,,,,,,,,
Very professional sevices.,professional service,company's service,positive,,,,,,,,,,,,,,,
beautician demanded a 5 star rating and i got my skin peeled of in rica waxing which i got to see after washing. i submitted my agony in uc app and nobody actually bothered about it.. hate u uc.,beautician demanded 5 star rating,service quality,negative ,,,,,,,,,,,,,,,
Worst customer care service. High prices are charged. Technician are also not goot. they can bring ur machine to worst condition.,worst customer care,customer support,negative ,high prices,cost,negative ,,,,,,,,,,,,
very useful app. People are very professional.,professional,company's service,positive,useful app,APP utlity,positive,,,,,,,,,,,,
The craftsmanship of Bala and his team is commendable . The team arrived bang on time and completely the decoration bang on time with kids enjoying the ambience whixh looked colourful with the decorations . Will surely recommend it for people looking for decorators .,team arrived on time,service quality,positive,,,,,,,,,,,,,,,
"very good service, rectified problem correctly nd did service super. servicer person name basheer Ahmed",very good service,service quality,positive,,,,,,,,,,,,,,,
good professionals and good service excellentðŸ‘,good professionals,company's service,positive,,,,,,,,,,,,,,,
Awesome and very very user friendly app.I used Urban clap multiple times.5/5 keept up the Good work team. For any issues or quieries they respond very quick.,user friendly app,App UI,positive,,,,,,,,,,,,,,,
"Pathetic customer support!!ðŸ˜¡ UrbanClap Worst experience with UrbanClap. Did gas refilling for AC and its down again with in two months. When check with their customer care, they are denying for repair and asking for a new booking. Do you think, I am a mad to book again with you ?? very bad customer service. With this bad attitude of cheating peopleâ€™s money, you UrbanClap wonâ€™t be there in the market for long. simply dont respond say send emails to resolve, I know you people cant help.",pathetic customer experience,customer support,negative ,,,,,,,,,,,,,,,
"i used the app for first time ,three days ago for installation of my AC. outside unit was not installed properly i informed the technician to fix but he left it that way and went. i rajsed a concern, second technician came saw and told he didnt got right equipment and he left. its been two days since then iam continously requesting call backs and assistance but no one is reaching me. what kind of a support is this? i have sent mail to ur help, escalatiom and resolve email id's. still no response",first time,service quality,negative ,requesting call backs,customer support,negative ,,,,,,,,,,,,
"Useless app, wasted my 1 hour for otp",useless app,App functionality,negative ,,,,,,,,,,,,,,,
Truly a professional approach and provided a detailed explanation of tasks he was performing. Would like him to attend my next A/C Service.,professional approach,service quality,positive,,,,,,,,,,,,,,,
very much satisfied with party make up and carpenter services i have opted from UC .,satisified,service quality,positive,,,,,,,,,,,,,,,
Very nice experience,nice experience,company's service,positive,,,,,,,,,,,,,,,
worst experience with this app ..their technicians niether professional nor disciplined.. they charge extra money so many times I have experienced... my ac has still in the same condition after paying him 3200 2 days back they also chrge much higher amount than market .. pls dont book any person thru this app,worst experience,company's service,negative ,charge extra money,cost,negative ,,,,,,,,,,,,
without knowing the local language one can find plumber electrician.. what else to write. superb job. great app.,great app,APP utlity,positive,,,,,,,,,,,,,,,
good for service thanks urban clap team by classic steels family,good for service,company's service,positive,,,,,,,,,,,,,,,
"thus apo made it so easy for the customers to fo I hat they want, its also time saving",time saving,APP utlity,positive,,,,,,,,,,,,,,,
"worst fridge repair and more charge for spare parts. my fridge was freezing a lot in top door and last week one fridge technician came for repair. he changed four parts and charged me 2400 rs and immediately on the same day the fridge stopped working fully. I submitted a call back last week but still no body from urban clap called me, worst customer service and inability technicians. mine is just 1.5 years old fridge and now not working totally.. feeling bad about urban clap service",worst repair,service quality,negative ,worst customer care,customer support,negative ,,,,,,,,,,,,
Have a very bad experience with urban clap. Would not recommend to anyone,bad experience,company's service,negative ,,,,,,,,,,,,,,,
app does not works at all. after raising call back request they call after so much time. worst app. worst servicing.,worst app,App functionality,negative ,,,,,,,,,,,,,,,
Ok but not great. Less service for man as compared to woman.,not great,company's service,negative ,,,,,,,,,,,,,,,
"Horrible service. Technician was supposed to come at 4 pm to service and repair AC but was a no-show two hours later. Forget those fancy commercials featuring guys in uniforms with fancy equipment to spray wash your AC - the two guys who finally turned up looked like the slobs you find in your neighbourhood repair shop, certainly didn't seem trained and didn't have any special equipment. And they went away because they didn't have the required spare parts with a promise to return the next day.",horrible service,service quality,negative ,,,,,,,,,,,,,,,
"i spent 7000 ruppes for ac service and didnot fix it , returned 3500 and lost remaining money. they spoiled my AC. i sholuld not perfer next time.",spoiled my ac,service quality,negative ,,,,,,,,,,,,,,,
excellent cleaning done... very dedicated,excellent cleaning,service quality,positive,,,,,,,,,,,,,,,
"Perfect service and good response, superb!!!",perfect service,company's service,positive,,,,,,,,,,,,,,,
"M-Square packers & movers - Just wow! One of the best packers & movers with very professional and decent staff. Assessed the luggage to move and quoted a very decent price. The staffs were polite, and packed everything on time very quickly with care. Loading and unloading was handled very carefully. Safety, Best Customer Support, Quality Packing & On Time Delivery - They score 100% in all department. Highly recommended.",professional and decent staff,service quality,positive,decent price,cost,positive,,,,,,,,,,,,
rude people onboard. dont use. they dont have skilled workers.,dont have skilled workers,service quality,negative ,rude people,service quality,negative ,,,,,,,,,,,,
this company is not worth to be given any stars.Highly unprofessional company,highly unprofessional,company's service,negative ,,,,,,,,,,,,,,,
I booked 2 services frm UC both the time d proffesional was not assigned though dey had charged advanced booking fee. Pathetic service from UC. No commitment shown.,pathetic service,service quality,negative ,,,,,,,,,,,,,,,
Good experience .professional service.,good experience,company's service,positive,,,,,,,,,,,,,,,
first time order home salon services. the therapist came an hour late. also the therapist had very recently signed in on the app and was inexperienced. i had no option to request for a more experiwnced therapist. because i had prepaid the whole amount i had to tolerate all this. wont recommend it next time,came an hour late,service quality,negative ,inexperienced,service quality,negative ,,,,,,,,,,,,
Very helpful when you are in urgent need .,very helpful,company's service,positive,,,,,,,,,,,,,,,
was a fantastic service keep it upðŸ˜€,fantastic service,company's service,positive,,,,,,,,,,,,,,,
heard alot about you please start your services in smaller cities as well such as agra! something like this is really required in these cities,start services in smaller cities,company's service,positive,,,,,,,,,,,,,,,
Urban clap has excellent technician & workers. Service is quick & good. Sme prices are little high.,excellent technicians,service quality,positive,prices little high,cost,negative ,,,,,,,,,,,,
Excellent service provide,excellent service,company's service,positive,,,,,,,,,,,,,,,
easy hassle free professional service app for all your home needs...,hassle free professional service,company's service,positive,,,,,,,,,,,,,,,
"I have finally decided to uninstall the app because for last 4 days I was trying to get a schedule for home salon but they always denying after the confirmed booking, saying now that person can not come .I was choosing different dates but they don't want to give service and saying sorry. my question is if you people aren't able to maintain timings then u should close the service because we keep on waiting for your service but at the last moment you saying sorry",uninstall the app,service quality,negative ,,,,,,,,,,,,,,,
Very bad customer service and technicians not knowledgeable about repair services. Please keep skilled technicians. Service engineer filled gas in my AC knowing there is leakage. As a result AC worked only for 1 week and after that gas leaked.,bad customer service,customer support,negative ,technicians not knowledgeable,service quality,positive,,,,,,,,,,,,
2 services taken so far. very much satisfied. people who come for work they didnt stopped till things taken place perfectly.,very much satisfied,company's service,positive,,,,,,,,,,,,,,,
"i had booked a service with a carpenter to fix a mirror in my room for which he charged 50 rs extra then the booking amount .as soon as he left the mirror got dislocated and feel off,my younger sister got hurt.have been trying to get in touch with the customer care service but its been a day no call back.",trying to get in touch with customer care,customer support,negative ,he charged 50 rs extra then the booking amount,payment,negative ,,,,,,,,,,,,
Very satisfied service done by yr technition we r totly satisfied,satisfied service,company's service,positive,,,,,,,,,,,,,,,
very professional,very professional,company's service,positive,,,,,,,,,,,,,,,
Fantastic service,fantastic service,company's service,positive,,,,,,,,,,,,,,,
Extremely happy with your service. Looking forward to experience the same in future.,extremely happy with your service,company's service,positive,,,,,,,,,,,,,,,
5stars to utban clap....very good service,5 stars,company's service,positive,,,,,,,,,,,,,,,
simply hopeless application with crooked policies to dupe customers. They are just commission agents having no control over services and repair rendered by their so called professionals. App design is such you are bound to give higher ratings to their professionals.,hopeless app,App UI,negative ,commission agents having no control over services,service quality,negative ,,,,,,,,,,,,
Awesome service Team UC! Keep it up!,awesome service,company's service,positive,,,,,,,,,,,,,,,
Please assign the beauticians near to the location otherwise it is difficult for them to reach and do tell them where they have to come because they are unable to reach the location. I have been waiting for more than 1 hour for the person to come and had to reschedule more than 2 of the appointments because of location problem.,waiting for more than 1 hour,service quality,negative ,,,,,,,,,,,,,,,
"Very reliable service and the technicians are well skilled. Useful for those living away from home not famililiar with the city, office goers. A single tap and lo your problem is sorted. Loved the service.",reliable service,company's service,positive,technicians are well skilled,service quality,positive,,,,,,,,,,,,
"Don't book any services from urbanclap. First time I booked an ac servicing, technician came 2 hours late of the scheduled timing. Very bad servicing.",first time,company's service,negative ,2 hour late,service quality,negative ,,,,,,,,,,,,
"Urban clap is completely fraud. Everyone be careful going forward what happened to me. The Technician came for AC installation and said some parts are not working and it costs around 5000.I said ok, please come with me for the parts shop I will purchase them, then technician came along with me to the shop and billed the amount 1700. When I am paying that money the technocian was saying to me I will pay that and you have to pay me 5000. How these people are cheating, Please be aware my friends.",completely fraud,service quality,negative ,,,,,,,,,,,,,,,
"Extremely unprofessional service. No intimation to inform delay in providing the service that someone has requested for,and then no callback despite requesting for the same several times..apalled!!! Now you guys want me to write our to an email address to help resolve my concern,what's the ""Need Help"" option in the app for then? In service industry mate,there are no second chances,and i have already given you 2...this app is going out from a few phones tonight.",unprofessional service,service quality,negative ,no call back,customer support,negative ,,,,,,,,,,,,
"excelent,hard worker, i really impressed i appointed for bath rooms.neeraj was appointed.he is good and hard worker. thanks to urban clap",really impressed,service quality,positive,,,,,,,,,,,,,,,
An exceptional service provider. Urban clap has become my destination for all small time repairs and maintenance. Kudos team!,excellent service provider,service quality,positive,,,,,,,,,,,,,,,
had great experience in all segments,great experience,company's service,positive,,,,,,,,,,,,,,,
worst experience ever in my life ...these people seem to be con men who will suck out every penny out of your pocket and don't expect your work to be done moreover it might get worse..no customer service contact number and they will take ages to call you but when asked for a time limit for resolution of problem they will update you as soon as possible which is equal to 10 million light years.Upon asking for a refund they will behave same as the relatives or friends who have taken money from you.,worst experience,company's service,negative ,no customer service,customer support,negative ,,,,,,,,,,,,
Excellent service. Worth every penny.,excellent service,company's service,positive,worth every penny,cost,positive,,,,,,,,,,,,
Prompt and perfect service,prompt service,service quality,positive,,,,,,,,,,,,,,,
"Quality goes down ðŸ˜” UC fooling people with membership subscriptions. Membership discount shown different and at the time of checkout it shows less amount and even after they given a remaining amount as credits; we can not use it at the time of next payment. Professionals are very dirty wearing clothes, dirty equipments.. and many of them are unqualified as they made injuries. I am talking UC services since 3 years but nowadays it's not as quality they were serving before.",quality goes down,service quality,negative ,,,,,,,,,,,,,,,
Timely response. Excellent job execution.,timely response,service quality,positive,excellent job execution,company's service,positive,,,,,,,,,,,,
"Highly professional and punctual service. Go get it, its value for money!",professional and punctual,service quality,positive,value for money,cost,positive,,,,,,,,,,,,
"very good experience, this app help us to provides all type of services as per our requirements, good app.",good experience,company's service,positive,good app,APP utlity,positive,,,,,,,,,,,,
The urban clap customer support have no control over the technicians. The date of visit is arranged for one day and the technician comes on the other day. The technicians does not give proper service as in my case within two weeks of service the AC was not working properly. Its all waste of time and i would not recommend urban clap to anyone else.,customer service has no control,customer support,negative ,technicians donot give proper service,service quality,negative ,,,,,,,,,,,,
Hired a builder through the app. He has turned out to be a fraud who has fleeced me of â‚¹1.25 Lacs and threatening to walk away without being paid more to finish the job. Why doesnt UrbanClap have any screening mechanism for such frauds?! Avoid the app,avoid the app,APP utlity,negative ,,,,,,,,,,,,,,,
"For the last few days I am trying to book a carpenter , whenever I am trying to book it is showing in app"" hands are full"" Its disappointing..why customers have to wait so long ,and if the demand is high why urban clap dont arrange alternatives.",customers have to wait so long,service quality,negative ,,,,,,,,,,,,,,,
"Not once but twice they have accepted the job and not assigned any beautician for job. There is no way to reach out to them as well, you keep requesting them to call back but they dont care. They dont value customers time, its better you dont accept the job in the first place and dont give false hopes to the customers dn accepting it n later not assigning anyone and wasting customers time. very poor customer service.",poor customer service,customer support,negative ,,,,,,,,,,,,,,,
"Normally it's very difficult to get professionals for small jobs, and they can charge the earth if they do turn up. Here, you can be assured of getting the person, that they turn up in time, are knowledgeable, well spoken, and also charge reasonably, with all rates published in advance. Must have for non-natives living in any city.",knowledgeable,service quality,positive,charge reasonably,cost,positive,,,,,,,,,,,,
Zero transperancy on items replaced and price. It was just put it as extra chages,extra charges,cost,negative ,,,,,,,,,,,,,,,
worst company ever.DO NOT USE THIS SERVICE! I repeat DO NOT USE THIS SERVICE! It's a scam.Booked a AC repair on 18.5.19. 599 was the bill.They asked for advance payment of RS 49.Total booking completed successfully.Booking was scheduled on 20.5.19 at 10 am.So on 19.5.19 evening I checked the app once more for my booking confirmation in my bookings tab.Surprisingly I saw that my booking was cancelled automatically without any notification to me.Don't waste your time and money on these cheaters!!,do not use this service,service quality,negative , I saw that my booking was cancelled automatically without any notification,service quality,negative ,,,,,,,,,,,,
over price!!! booked for carpentric work they took just 15min to complete the work... they just used their 4 nails and put the bill for rs 850inr!! not worthy!!! avoid and use local labour!!,over priced,cost,negative ,,,,,,,,,,,,,,,
"Good experience for the given issue, quick timely resolution.",good experience,company's service,positive,,,,,,,,,,,,,,,
It was a good experience.,good experience,company's service,positive,,,,,,,,,,,,,,,
I have used urban clap app for ac service and plumbers and electrician..I am totally satisfied with their work,totally satisfied,company's service,positive,,,,,,,,,,,,,,,
like the services..,like the services,company's service,positive,,,,,,,,,,,,,,,
Excellent Servicing of Split Inverter AC.,excellent servicing,service quality,positive,,,,,,,,,,,,,,,
no problems full solutions.,full solutions,company's service,positive,,,,,,,,,,,,,,,
convenient app,convenient app,App UI,positive,,,,,,,,,,,,,,,
extremely pathetic response of the company and simply shirks any responsibility,pathetic response,customer support,negative ,,,,,,,,,,,,,,,
Amazing Service App,amazing service app,APP utlity,positive,,,,,,,,,,,,,,,
"Worst experience with this app. My family member had worst salon at home for women service. I feel hopeless because not even urban clap understands what I have been through as well as Urban Clap does not repond to my problems. Please don't download this app. Don't let inexperienced people come at your home else go to salons,, as nobody takes responsibility if anything goes wrong. They are playing with your life, being just a money making machine. they are liers. kindly uninstall this app.",worst experience,service quality,negative , inexperienced people,service quality,negative ,,,,,,,,,,,,
nice service in one click,nice service,APP utlity,positive,,,,,,,,,,,,,,,
urbanclap is very fast service and work i am very very happy,fast service,company's service,positive,,,,,,,,,,,,,,,
had a very good experience.,good experience,company's service,positive,,,,,,,,,,,,,,,
good service,good service,company's service,positive,,,,,,,,,,,,,,,
quality and professionals when get together ...its jnow as urbanclap,quality and professionals,company's service,positive,,,,,,,,,,,,,,,
they have done a very good job. I will suggest my friends too.,very good job,company's service,positive,,,,,,,,,,,,,,,
very bad home service app don't download the app i request you. they are making fool every body. and they provide service only in metro city. They deserve only -1 star.,bad home service app,company's service,negative ,,,,,,,,,,,,,,,
easy and effective,easy,APP utlity,positive,effective,company's service,positive,,,,,,,,,,,,
no customer care option,no customer care,customer support,negative ,,,,,,,,,,,,,,,
"worst service. Services rescheduled without contacting customer. But, status shows you were just contacted or failed contat you. one of the over rated apps in playstore. not worth.",worst service,company's service,negative ,,,,,,,,,,,,,,,
"Please Go through this! Booked for chimney fitting. Got scheduled and cancelled not once, but thrice. Entire weekend went off following up with these guys. Urban Clap is more interested in promoting only ""massages"" and not what customer needs. An App for Massage? You get hundreds of people doing that, why Urban clap? Totally Unfair!",not what customer needs,company's service,negative ,,,,,,,,,,,,,,,
excellent service,excellent service,company's service,positive,,,,,,,,,,,,,,,
"I was very happy with the prompt, efficient and quality Service provided.",prompt service,company's service,positive,quality service,company's service,positive,,,,,,,,,,,,
Excellent work UrbanClap team,excellent work,company's service,positive,,,,,,,,,,,,,,,
Very friendly and have clear sub menus and job categories.,very friendly,App UI,positive,,,,,,,,,,,,,,,
recommended to all,recommended to all,company's service,positive,,,,,,,,,,,,,,,
"AC Technician brought a helper who had an absolutely uncivilized behaviour. Also, instead of thinking how to resolve the problem, the technician claimed that the pipe leak work was beyond the scope of repair. Got charged just to have technician visit and tell me that he could not fix the AC. Forget about raising a customer complaint, UC does not respond. Also, they filter out negative reviews from their site.",no response to customer complaint,customer support,negative ,absolutely uncivilized behaviour,service person's attitue,negative ,,,,,,,,,,,,
Very user friendly app,very user friendly app,App UI,positive,,,,,,,,,,,,,,,
First impression... best as well,first impression,company's service,positive,,,,,,,,,,,,,,,
Had opted for AC service.... neat and clean service along with that opted for pest control and ro fikter service... very good and neat service. pest control for cockroach is very effective. though had smell for 1 to 2 days... but very effective,very effective,service quality,positive,,,,,,,,,,,,,,,
excellent service for my AC,excellent service,service quality,positive,,,,,,,,,,,,,,,
We recently engaged Ascent packers for moving our 3BHK household goods. Found them to be quite professional and affordable and I was quite happy with their work. The workers have come on time and have done a good job.recommend supreme movers and packers,professional,service quality,positive,affordable,cost,positive,,,,,,,,,,,,
how urban clap duped me of 5000 rupees. their professional came took 5000 rupees from me its been a month and no work done. just got off the call of the representative saying that they can't help. any advice of how i can sue them in consumer court?,took 5000 and no work done,service quality,negative ,no customer support,customer support,negative ,,,,,,,,,,,,
"professional, neat and clean",professional,company's service,positive,,,,,,,,,,,,,,,
"We just had our house packed and loaded for an out of state move, to mumbai. The helpers and delivery boy were very clean, helpful, courteous, and very professional. I cannot give a higher rating than the 5 stars, or I would. I would highly recommend them for any move that you may have. thanks Supreme movers and packers",5 stars,service quality,positive,,,,,,,,,,,,,,,
just now got service from UrbanClap for plumbing work. Excellent work done.,excellent work done,service quality,positive,,,,,,,,,,,,,,,
Bad Service by Urban Clap.Bed Bug Pest control fails and no response back on calling and emailing them...Not approachable we were expecting a reply on call. Bad Service...no value for money,bad service,company's service,negative ,no response,customer support,negative ,,,,,,,,,,,,
